,City,Country,Lat,Lng,Date,Max Temp,Humidity,Clouds,Wind Speed
249,Chumikan,RU,54.7183,135.315,1624742204,49.17,85,21,4.61
250,Risør,NO,58.7206,9.2342,1624742205,61.29,91,100,4.38
251,Staryy Nadym,RU,65.6118,72.6842,1624742205,45.97,65,100,6.69
252,Douentza,ML,14.9951,-2.9517,1624742206,93.0,32,40,5.12
253,Sambava,MG,-14.2667,50.1667,1624742206,69.04,89,32,9.15
254,Hobart,AU,-42.8794,147.3294,1624741952,47.91,75,40,1.99
255,Makkah al Mukarramah,SA,21.4267,39.8261,1624742207,89.02,31,12,4.34
256,Ostrovnoy,RU,68.0531,39.5131,1624742207,43.88,84,76,3.69
257,Chimoré,BO,-16.9833,-65.1333,1624742208,76.24,78,100,3.13
258,Esperance,AU,-33.8667,121.9,1624742208,50.68,62,0,15.95
259,Norman Wells,CA,65.282,-126.8329,1624742209,82.08,31,76,3.4
260,Muğla Province,TR,37.2303,28.3557,1624742209,75.87,41,0,5.61
261,Port Antonio,JM,18.18,-76.4612,1624742210,84.11,67,60,8.55
262,Lakes Entrance,AU,-37.8811,147.981,1624742210,48.18,81,50,10.71
263,Wamba,NG,8.9333,8.6,1624742211,72.1,95,86,1.07
264,At-Bashi,KG,41.1702,75.8106,1624742211,51.53,48,2,1.1
265,Aksay,RU,47.26,39.87,1624742211,75.42,78,32,10.0
266,Iqaluit,CA,63.7506,-68.5145,1624742212,40.69,66,100,8.01
267,Srednekolymsk,RU,67.45,153.6833,1624742212,76.51,30,79,6.55
268,Chui,UY,-33.6971,-53.4616,1624742037,55.99,95,100,4.45
269,Liaozhong,CN,41.5061,122.7242,1624742213,68.49,95,100,8.86
270,Auki,SB,-8.7676,160.7034,1624742213,78.64,86,100,4.07
271,Taltal,CL,-25.4,-70.4833,1624742214,62.76,71,100,4.56
272,Porbandar,IN,21.6422,69.6093,1624742214,84.52,64,75,12.71
273,Nanortalik,GL,60.1432,-45.2371,1624742215,48.07,85,100,3.62
274,Saint-Joseph,RE,-21.3667,55.6167,1624742215,68.36,79,9,5.32
275,Dawson Creek,CA,55.7666,-120.2362,1624742215,83.37,51,11,5.39
276,Sharjah city,AE,25.3573,55.4033,1624742216,94.98,39,0,2.3
277,Madridejos,ES,39.4682,-3.532,1624742216,81.25,26,0,10.71
278,Kamenka,RU,51.3223,42.7678,1624742217,70.59,71,74,10.49
279,Baiyin,CN,36.5583,104.2081,1624742218,63.48,55,60,2.64
280,Priladozhskiy,RU,59.85,31.4833,1624742218,67.66,89,8,5.7
281,Datong,CN,40.0936,113.2914,1624742218,71.65,45,52,3.94
282,Coahuayana Viejo,MX,18.7333,-103.6833,1624742219,83.68,92,100,7.05
283,Laguna,US,38.421,-121.4238,1624742219,103.44,35,1,3.0
284,Emerald,AU,-23.5333,148.1667,1624742220,48.34,73,0,14.32
285,Ingham,US,42.6,-84.3833,1624742220,80.78,84,75,13.8
286,Mahébourg,MU,-20.4081,57.7,1624742221,72.25,83,75,6.91
287,Sārangarh,IN,21.6,83.0833,1624742221,84.65,68,50,2.68
288,Lianzhou,CN,24.7811,112.3825,1624742222,75.78,98,100,2.95
289,Mahajanga,MG,-15.7167,46.3167,1624742222,66.22,94,20,3.44
290,Moose Factory,CA,51.2585,-80.6094,1624742222,73.63,46,100,8.05
291,Skjervøy,NO,70.0311,20.9714,1624742223,47.86,84,100,5.64
292,Vanimo,PG,-2.6741,141.3028,1624742223,76.06,90,97,5.53
293,Bam,IR,29.106,58.357,1624742224,84.79,14,0,7.9
294,Vila Franca do Campo,PT,37.7167,-25.4333,1624742224,68.41,90,69,8.79
295,Bongandanga,CD,1.5,21.05,1624742224,77.34,63,67,2.84
296,Mahabad,IR,36.7631,45.7222,1624742225,77.32,15,75,7.94
297,Rome,US,43.2128,-75.4557,1624742225,89.46,56,20,11.5
298,Assiut,EG,27.181,31.1837,1624742226,88.16,25,0,6.8
299,Bodden Town,KY,19.2833,-81.25,1624742226,87.8,47,20,5.99
300,Kihurio,TZ,-4.4667,38.0667,1624742227,63.1,85,0,1.25
301,Comodoro Rivadavia,AR,-45.8667,-67.5,1624742227,44.46,61,20,8.05
302,Bārāmati,IN,18.15,74.5833,1624742228,76.08,70,100,11.48
303,Hīrāpur Hamesha,IN,21.5333,79.7667,1624742228,80.71,75,100,1.97
304,Poplar Bluff,US,36.757,-90.3929,1624741980,91.18,60,40,4.0
305,Saldanha,ZA,-33.0117,17.9442,1624742229,54.77,77,60,8.25
306,Buala,SB,-8.145,159.5921,1624742229,80.64,81,87,7.61
307,Ahipara,NZ,-35.1667,173.1667,1624742230,61.86,84,100,13.82
308,Prieska,ZA,-29.6641,22.7474,1624742230,42.93,68,22,4.27
309,Lillooet,CA,50.6856,-121.942,1624741987,103.23,23,8,1.79
310,Rocha,UY,-34.4833,-54.3333,1624741948,54.32,96,94,5.35
311,São Miguel do Araguaia,BR,-13.275,-50.1628,1624742231,81.23,25,3,3.36
312,Burla,IN,21.5,83.8667,1624742232,82.29,74,100,2.77
313,Samarai,PG,-10.6167,150.6667,1624742232,79.43,84,84,9.31
314,Kumluca,TR,36.3703,30.2869,1624742233,83.89,46,0,6.6
315,Hualmay,PE,-11.0964,-77.6139,1624742233,66.87,73,7,10.0
316,Leningradskiy,RU,69.3833,178.4167,1624742234,50.83,50,94,1.52
317,Mar del Plata,AR,-38.0023,-57.5575,1624741998,53.01,60,90,2.3
318,Yārāda,IN,17.65,83.2667,1624742234,82.72,83,75,2.3
319,Upata,VE,8.0086,-62.3989,1624742235,77.2,85,85,5.08
320,Agía Galíni,GR,35.1,24.6833,1624742235,87.75,39,0,4.7
321,Smithers,CA,54.7804,-127.1743,1624742011,90.81,34,13,1.28
322,Rosarito,MX,32.3333,-117.0333,1624742236,91.94,63,20,11.72
323,Viedma,AR,-40.8135,-62.9967,1624742236,46.87,69,77,20.54
324,Northam,GB,51.0333,-4.2167,1624742237,62.29,85,97,3.11
325,Malé,MV,4.1748,73.5089,1624742237,82.74,72,100,12.39
326,Dunedin,NZ,-45.8742,170.5036,1624741975,49.8,93,98,4.0
327,Brecksville,US,41.3198,-81.6268,1624742238,86.13,67,94,5.01
328,Port-Gentil,GA,-0.7193,8.7815,1624742238,76.05,84,100,11.45
329,Wanning,CN,18.8003,110.3967,1624742239,81.5,89,100,9.73
330,Kutum,SD,14.2,24.6667,1624742239,83.5,18,6,5.06
331,Saint-François,FR,46.4154,3.9054,1624742240,65.64,72,0,5.75
332,Bar Harbor,US,44.3876,-68.2039,1624742240,73.35,90,100,12.46
333,Ballina,AU,-28.8667,153.5667,1624742241,47.95,83,43,8.39
334,Launceston,AU,-41.45,147.1667,1624742241,43.81,94,12,4.0
335,Rincon,US,32.296,-81.2354,1624742070,86.18,69,75,14.97
336,Dunmore Town,BS,25.5,-76.65,1624742242,81.32,73,13,15.43
337,Ojinaga,MX,29.5667,-104.4167,1624742242,104.95,21,1,10.36
338,Petatlán,MX,17.5167,-101.2667,1624742243,76.8,92,100,7.14
339,Athabasca,CA,54.7169,-113.2854,1624742243,84.87,43,22,15.57
340,Talnakh,RU,69.4865,88.3972,1624742244,47.07,66,100,7.18
341,Nara,JP,34.6851,135.8049,1624742244,72.25,86,100,3.24
342,Umm Kaddadah,SD,13.6017,26.6876,1624742245,94.59,14,56,11.72
343,Boyolangu,ID,-8.1181,111.8935,1624742245,74.28,94,67,0.89
344,Corinth,GR,37.9407,22.9573,1624742245,86.76,65,7,1.83
345,Flagstaff,US,35.1981,-111.6513,1624742246,84.88,22,20,3.44
346,Santa Rosa,PH,14.3122,121.1114,1624742246,83.1,87,95,2.64
347,Coquimbo,CL,-29.9533,-71.3436,1624741996,58.73,72,20,10.36
348,Goúmero,GR,37.7667,21.6167,1624742247,77.85,38,0,4.83
349,Selikhino,RU,50.3672,137.4996,1624742247,56.48,96,99,5.44
350,Beloha,MG,-25.1667,45.05,1624742248,63.16,80,3,3.96
351,Ituango,CO,7.1712,-75.764,1624742248,70.83,77,90,2.8
352,Bluefields,NI,12.0137,-83.7635,1624742249,77.68,88,99,7.92
353,Touros,BR,-5.1989,-35.4608,1624742126,79.7,75,23,20.2
354,Wajid,SO,3.8093,43.2471,1624742249,73.04,70,67,19.82
355,Qaqortoq,GL,60.7167,-46.0333,1624742250,63.1,88,91,2.68
356,Erenhot,CN,43.6475,111.9767,1624742250,71.8,47,7,7.76
357,Oodweyne,SO,9.4092,45.064,1624742250,74.64,54,99,17.98
358,Bandar-e Anzali,IR,37.4727,49.4622,1624742251,78.8,69,0,4.12
